iter	AUC	Logloss
275	0.9530666693	0.2222031064
276	0.9531613456	0.2220011299
277	0.9532673673	0.2217762195
278	0.9533750062	0.2216040433
279	0.953493942	0.2214357596
280	0.953596721	0.2212476164
281	0.9536920119	0.221064024
282	0.9538436816	0.2207838443
283	0.9539369428	0.2205798293
284	0.9540031548	0.2204197604
285	0.9541044702	0.2202059012
286	0.9541906314	0.2200579299
287	0.9543106912	0.2198225313
288	0.9544279773	0.219610674
289	0.9545202843	0.2194131129
290	0.9546183085	0.2192639792
291	0.9547030384	0.2190911065
292	0.9548320742	0.2188858553
293	0.9549322493	0.2187011591
294	0.9550178122	0.2185302146
295	0.9551430635	0.2183106645
296	0.9552472333	0.2180379905
297	0.955338481	0.2179066467
298	0.9554395295	0.2176742674
299	0.9554907087	0.2175608237
300	0.9556045338	0.2173396681
301	0.9557254912	0.2171403518
302	0.9558463677	0.2169173813
303	0.9559765274	0.2167144957
304	0.9560708399	0.2165249421
305	0.9561456235	0.2163249411
306	0.9562880181	0.2160787706
307	0.9563864466	0.215863017
308	0.9565309356	0.2155943892
309	0.956640677	0.215390555
310	0.9567221158	0.2151943793
311	0.956786476	0.2150380535
312	0.9568966136	0.2148164693
313	0.9569890662	0.2146225347
314	0.95710801	0.2143944717
315	0.9572106596	0.2142006903
316	0.9573044626	0.2140423879
317	0.9574171637	0.2138553429
318	0.9575301478	0.2136154558
319	0.9576143279	0.2133711433
320	0.957713848	0.213211954
321	0.9578287325	0.2130037876
322	0.9579531185	0.2127453992
323	0.9580488703	0.2126068354
324	0.958155078	0.2124036529
325	0.9582273467	0.2122517214
326	0.9583283548	0.2120614314
327	0.9584195054	0.2118806551
328	0.958517942	0.2116269128
329	0.9586330771	0.2114546669
330	0.9587160199	0.2112756292
331	0.9588133972	0.2111183814
332	0.958915133	0.2108814664
333	0.9590592176	0.2106678995
334	0.9591452334	0.21049822
335	0.9592426591	0.2102208229
336	0.959345616	0.2100257098
337	0.9594681098	0.2097752334
338	0.9595860509	0.209531652
339	0.9596638589	0.2094043329
340	0.959767778	0.2092258086
341	0.9598850884	0.2090324165
342	0.9599793604	0.2088508319
343	0.9600979889	0.208576635
344	0.9601999673	0.2083090449
345	0.9602808724	0.2081379735
346	0.9604416152	0.20783462
347	0.9605529577	0.2076046676
348	0.960646413	0.2073885982
349	0.9607639174	0.2072376494
350	0.9608616747	0.2070646087
351	0.9609549279	0.2068471293
352	0.9610203231	0.2067406795
353	0.9610622595	0.2066252648
354	0.9611448304	0.206459776
355	0.9612645344	0.2061914277
356	0.9613760548	0.2060000332
357	0.961505042	0.2057826989
358	0.9616271396	0.2055464098
359	0.961698446	0.2054059334
360	0.9617696797	0.2052411885
361	0.9618797204	0.2049999864
362	0.9619706284	0.2047929289
363	0.9620620459	0.2046087303
364	0.9621444874	0.2043628774
365	0.9622297107	0.204194307
366	0.9623236916	0.2040165716
367	0.9624204704	0.2037863501
368	0.9625036074	0.2035817972
369	0.9625719138	0.2034011763
370	0.9626551397	0.2032237748
371	0.9627745121	0.2029655687
372	0.9628363816	0.2028469072
373	0.9629316968	0.2026902216
374	0.9630040707	0.202456416
375	0.963089205	0.2022982812
376	0.9631943533	0.2020967629
377	0.9632991215	0.2017887259
378	0.9634135612	0.2015690475
379	0.963556538	0.2012993001
380	0.9636547967	0.2011170018
381	0.9637752446	0.2008724595
382	0.9638803525	0.2006690634
383	0.9639755302	0.2004174202
384	0.9640595243	0.2002062297
385	0.96421624	0.1998894783
386	0.964304148	0.1997113007
387	0.9643646994	0.1995563953
388	0.9644673895	0.1993224106
389	0.9645658988	0.1991415058
390	0.9646660092	0.1989366154
391	0.9647285742	0.198744277
392	0.9647854787	0.198587102
393	0.9648877806	0.1984129487
394	0.9649787371	0.1981904309
395	0.9650930312	0.1979935492
396	0.9651863733	0.1978212261
397	0.9652529815	0.19766092
398	0.9653601595	0.1974143374
399	0.9654376926	0.1972652581
400	0.9655550919	0.1969886438
401	0.9656434446	0.1967386429
402	0.9657250209	0.1965186663
403	0.965822851	0.1962907699
404	0.9659166054	0.196028644
405	0.9660021683	0.1958846498
406	0.9661391126	0.1955745314
407	0.9662534472	0.1953492091
408	0.9663516977	0.1950886043
409	0.9664900895	0.194806776
410	0.9665576115	0.1946272595
411	0.9666490775	0.1943731184
412	0.9667242736	0.1942100639
413	0.9668276105	0.1940117483
414	0.9669221575	0.193749089
415	0.9670171654	0.1934754756
416	0.9671489343	0.1931453529
417	0.9672654118	0.1929013541
418	0.9673829	0.1926541955
419	0.9674396104	0.1925390202
420	0.9675046661	0.1923553164
421	0.9675800562	0.1922163239
422	0.9676633225	0.1920527998
423	0.9677222648	0.1918737819
424	0.9677894229	0.1917134628
425	0.9678712094	0.1915756452
