iter	Passed	Remaining
644	32349	168267
645	32399	168215
646	32447	168154
647	32495	168096
648	32543	168033
649	32594	167986
650	32644	167937
651	32693	167880
652	32742	167825
653	32792	167773
654	32844	167730
655	32892	167671
656	32941	167615
657	32989	167556
658	33038	167498
659	33087	167443
660	33136	167388
661	33185	167331
662	33235	167279
663	33284	167222
664	33334	167171
665	33383	167116
666	33432	167063
667	33481	167004
668	33531	166954
669	33583	166912
670	33634	166867
671	33683	166811
672	33730	166746
673	33777	166683
674	33826	166629
675	33877	166580
676	33926	166524
677	33974	166466
678	34024	166412
679	34073	166360
680	34123	166309
681	34172	166252
682	34222	166201
683	34269	166138
684	34318	166082
685	34368	166029
686	34419	165984
687	34466	165921
688	34514	165862
689	34564	165809
690	34615	165762
691	34663	165702
692	34711	165644
693	34761	165595
694	34812	165547
695	34864	165506
696	34912	165448
697	34963	165400
698	35013	165349
699	35061	165288
700	35111	165238
701	35161	165189
702	35211	165136
703	35261	165087
704	35312	165044
705	35362	164990
706	35413	164947
707	35462	164892
708	35511	164835
709	35560	164778
710	35609	164724
711	35658	164671
712	35708	164619
713	35757	164563
714	35806	164509
715	35855	164453
716	35904	164397
717	35953	164346
718	36001	164284
719	36051	164234
720	36100	164180
721	36152	164137
722	36202	164087
723	36251	164033
724	36300	163978
725	36350	163927
726	36398	163869
727	36447	163814
728	36495	163753
729	36543	163696
730	36592	163642
731	36643	163596
732	36694	163547
733	36744	163496
734	36792	163440
735	36842	163389
736	36894	163346
737	36944	163295
738	36992	163239
739	37041	163184
740	37089	163124
741	37137	163063
742	37185	163006
743	37234	162950
744	37283	162897
745	37334	162850
746	37383	162797
747	37434	162748
748	37484	162701
749	37535	162652
750	37583	162596
751	37631	162536
752	37679	162475
753	37728	162422
754	37777	162368
755	37826	162313
756	37875	162260
757	37925	162207
758	37972	162148
759	38022	162097
760	38073	162048
761	38124	162004
762	38173	161948
763	38224	161902
764	38274	161854
765	38324	161802
766	38371	161739
767	38421	161690
768	38473	161648
769	38524	161601
770	38575	161558
771	38625	161504
772	38675	161455
773	38725	161405
774	38774	161352
775	38823	161299
776	38875	161257
777	38925	161205
778	38974	161151
779	39024	161100
780	39074	161049
781	39123	160996
782	39172	160944
783	39222	160894
784	39271	160837
785	39321	160786
786	39374	160748
787	39424	160701
788	39476	160656
789	39524	160600
790	39573	160546
791	39625	160501
792	39675	160454
793	39725	160402
794	39776	160357
795	39828	160315
796	39877	160261
797	39930	160221
798	39980	160173
799	40028	160114
800	40077	160059
801	40127	160008
802	40176	159955
803	40226	159905
804	40277	159859
805	40329	159817
806	40378	159761
807	40427	159708
808	40476	159655
809	40526	159605
810	40575	159550
811	40625	159500
812	40675	159450
813	40727	159406
814	40777	159355
815	40830	159320
816	40882	159275
817	40930	159217
818	40981	159173
819	41034	159132
820	41086	159091
821	41135	159037
822	41185	158988
823	41235	158936
824	41284	158884
825	41334	158833
826	41383	158779
827	41433	158729
828	41482	158674
829	41535	158635
830	41586	158587
831	41635	158535
832	41684	158482
833	41733	158426
834	41783	158375
835	41832	158324
836	41884	158279
837	41932	158224
838	41983	158177
839	42031	158119
840	42080	158063
841	42129	158008
842	42178	157956
843	42228	157908
844	42280	157863
845	42331	157819
846	42382	157769
847	42428	157706
848	42475	157645
849	42526	157597
850	42575	157546
851	42626	157499
852	42678	157455
853	42730	157410
854	42780	157362
855	42831	157315
856	42879	157258
857	42928	157204
858	42979	157158
859	43032	157118
860	43081	157064
861	43131	157015
862	43182	156967
863	43233	156920
864	43283	156871
865	43335	156827
866	43388	156787
867	43437	156735
868	43487	156686
869	43542	156653
870	43594	156608
871	43646	156565
872	43695	156514
873	43747	156469
874	43798	156422
875	43847	156369
876	43899	156325
877	43949	156275
878	43998	156223
879	44047	156168
880	44097	156116
881	44145	156061
882	44193	156005
883	44243	155952
884	44294	155905
885	44343	155853
886	44391	155795
887	44440	155741
888	44487	155679
889	44536	155626
890	44587	155579
891	44638	155533
892	44686	155476
893	44736	155428
894	44786	155377
895	44837	155328
896	44884	155271
897	44936	155226
898	44986	155174
899	45036	155126
900	45085	155072
901	45135	155023
902	45185	154971
903	45234	154917
904	45283	154864
905	45335	154821
906	45385	154772
907	45437	154726
908	45487	154676
909	45537	154626
910	45587	154575
911	45636	154524
912	45684	154467
913	45733	154411
914	45783	154363
915	45833	154311
916	45882	154258
917	45933	154211
918	45983	154163
919	46036	154122
920	46085	154069
921	46137	154026
922	46188	153978
923	46239	153931
924	46287	153875
925	46337	153825
926	46387	153773
927	46438	153727
928	46487	153674
929	46535	153616
930	46584	153562
931	46633	153508
932	46682	153457
933	46732	153406
934	46784	153362
935	46836	153318
936	46885	153265
937	46936	153219
938	46987	153172
939	47038	153126
940	47088	153073
941	47136	153019
942	47185	152966
943	47235	152913
944	47284	152860
945	47332	152804
946	47383	152758
947	47432	152704
948	47484	152661
949	47533	152608
950	47583	152558
951	47632	152503
952	47682	152453
953	47734	152408
954	47782	152353
955	47832	152302
956	47880	152246
957	47928	152190
958	47980	152145
959	48028	152091
960	48078	152039
961	48128	151990
962	48179	151943
963	48227	151885
964	48279	151843
965	48329	151793
966	48381	151748
967	48431	151699
968	48482	151652
969	48529	151593
970	48581	151547
971	48631	151499
972	48679	151442
973	48729	151390
974	48779	151341
975	48830	151293
976	48880	151244
977	48932	151199
978	48982	151149
979	49033	151104
980	49083	151054
981	49133	151003
982	49182	150948
983	49235	150908
984	49285	150858
985	49332	150800
986	49384	150755
987	49433	150702
988	49483	150652
989	49533	150602
990	49585	150557
991	49635	150507
992	49681	150445
993	49728	150387
994	49779	150339
995	49831	150293
996	49883	150250
997	49935	150207
998	49986	150159
999	50036	150110
1000	50087	150061
1001	50134	150003
1002	50184	149952
1003	50233	149901
1004	50286	149858
1005	50336	149809
1006	50387	149761
1007	50440	149721
1008	50491	149672
1009	50540	149619
1010	50593	149577
1011	50643	149529
1012	50693	149477
1013	50745	149433
1014	50796	149385
1015	50846	149336
1016	50896	149285
1017	50947	149239
1018	50998	149191
1019	51047	149140
1020	51099	149093
1021	51147	149039
1022	51199	148992
1023	51247	148938
1024	51296	148884
1025	51345	148830
1026	51395	148780
1027	51444	148728
1028	51493	148675
1029	51542	148622
1030	51592	148572
1031	51642	148523
1032	51695	148479
1033	51743	148425
1034	51795	148379
1035	51847	148335
1036	51899	148291
1037	51948	148237
1038	51998	148187
1039	52047	148135
1040	52098	148086
1041	52146	148032
1042	52196	147981
1043	52246	147931
1044	52295	147878
1045	52343	147822
1046	52394	147775
1047	52443	147721
1048	52492	147669
1049	52543	147621
1050	52594	147575
1051	52645	147528
1052	52697	147481
1053	52744	147424
1054	52795	147376
1055	52846	147328
1056	52898	147284
1057	52947	147233
1058	52999	147187
1059	53049	147138
1060	53098	147085
1061	53147	147032
1062	53198	146983
1063	53248	146933
1064	53295	146876
1065	53345	146825
1066	53393	146768
1067	53443	146718
1068	53494	146671
1069	53544	146620
1070	53592	146564
1071	53640	146510
1072	53688	146454
1073	53739	146406
1074	53791	146362
1075	53842	146315
1076	53892	146264
1077	53941	146211
1078	53991	146161
1079	54041	146113
1080	54089	146056
1081	54138	146004
1082	54187	145952
1083	54237	145899
1084	54286	145847
1085	54334	145791
1086	54384	145742
1087	54436	145696
1088	54486	145648
1089	54537	145600
1090	54584	145542
1091	54634	145491
1092	54687	145450
1093	54738	145401
1094	54788	145352
1095	54836	145297
1096	54888	145252
1097	54939	145204
1098	54988	145152
1099	55038	145102
1100	55090	145056
1101	55142	145010
1102	55189	144954
1103	55240	144905
1104	55288	144852
1105	55338	144799
1106	55384	144740
1107	55435	144692
1108	55488	144650
1109	55537	144598
1110	55589	144553
1111	55638	144501
1112	55689	144453
1113	55738	144400
1114	55789	144351
1115	55839	144303
1116	55889	144250
1117	55939	144202
1118	55988	144149
1119	56040	144103
1120	56091	144055
1121	56139	144001
1122	56188	143949
1123	56239	143900
1124	56291	143855
1125	56339	143800
1126	56391	143757
1127	56441	143706
1128	56492	143657
1129	56541	143605
1130	56593	143559
1131	56644	143512
1132	56694	143461
1133	56745	143414
1134	56796	143366
1135	56846	143317
1136	56895	143265
1137	56947	143220
1138	56997	143169
1139	57048	143122
1140	57097	143069
1141	57147	143020
1142	57200	142975
1143	57250	142926
1144	57302	142882
1145	57353	142833
1146	57403	142784
1147	57453	142733
1148	57504	142684
1149	57554	142635
1150	57604	142584
1151	57653	142532
1152	57704	142485
1153	57754	142435
1154	57804	142385
1155	57855	142337
1156	57904	142285
1157	57955	142235
1158	58006	142188
1159	58055	142135
1160	58107	142090
1161	58155	142036
1162	58204	141982
1163	58255	141935
1164	58305	141885
1165	58356	141837
1166	58406	141788
1167	58456	141737
1168	58506	141685
1169	58556	141636
1170	58604	141581
1171	58653	141529
1172	58702	141476
1173	58752	141425
1174	58802	141377
1175	58852	141326
1176	58905	141282
1177	58957	141237
1178	59005	141183
1179	59056	141134
1180	59108	141089
1181	59157	141036
1182	59204	140980
1183	59251	140923
1184	59303	140876
1185	59350	140819
1186	59398	140765
1187	59448	140715
1188	59497	140661
1189	59548	140613
1190	59599	140565
1191	59647	140510
1192	59697	140461
1193	59748	140414
1194	59798	140362
1195	59848	140313
1196	59897	140261
1197	59948	140212
1198	59997	140161
1199	60048	140113
1200	60098	140063
1201	60147	140009
1202	60198	139962
1203	60245	139906
1204	60297	139861
1205	60349	139814
1206	60399	139765
1207	60452	139722
1208	60504	139674
1209	60555	139628
1210	60604	139575
1211	60654	139526
1212	60704	139474
1213	60758	139433
1214	60808	139383
1215	60858	139333
1216	60908	139283
1217	60960	139238
1218	61013	139195
1219	61062	139141
1220	61113	139094
1221	61164	139046
1222	61215	138998
1223	61267	138953
1224	61320	138908
1225	61368	138854
1226	61422	138813
1227	61473	138767
1228	61523	138714
1229	61575	138671
1230	61629	138629
1231	61680	138581
1232	61733	138538
1233	61785	138490
1234	61836	138444
1235	61888	138398
1236	61939	138349
1237	61991	138304
1238	62042	138255
1239	62095	138211
1240	62146	138163
1241	62196	138114
1242	62245	138062
1243	62294	138010
1244	62345	137961
1245	62395	137910
1246	62446	137862
1247	62497	137815
1248	62549	137769
1249	62601	137722
1250	62650	137671
1251	62698	137615
1252	62751	137571
1253	62801	137522
1254	62853	137476
1255	62902	137424
1256	62952	137373
1257	63001	137320
1258	63049	137266
1259	63099	137215
1260	63149	137166
1261	63203	137124
1262	63251	137069
1263	63300	137017
1264	63349	136965
1265	63400	136916
1266	63450	136867
1267	63501	136818
1268	63552	136769
1269	63601	136719
1270	63652	136669
1271	63703	136622
1272	63752	136569
1273	63803	136521
1274	63852	136468
